Date,Close/Last,Volume,Open,High,Low
12/12/2025,143.69,14873170,146.94,147.08,143.26
12/11/2025,147.97,9769253,147.06,148.13,145.11
12/10/2025,148.73,8961059,147.69,149.22,146.82
12/09/2025,148.02,6978176,147.335,148.25,146.96
12/08/2025,147.63,8272771,147.43,148.38,146.92
12/05/2025,146.60,6627969,146.21,147.31,145.69
12/04/2025,145.535,9995268,145.19,145.795,144.495
12/03/2025,144.995,11623232,143.95,145.095,143.2275
12/02/2025,144.65,15719056,144.065,145.515,143.645
12/01/2025,143.175,12846540,141.72,143.6025,141.285
11/28/2025,143.11,6792182,142.19,143.135,141.805
11/26/2025,141.89,13359394,141.885,142.495,140.79
11/25/2025,140.23,21303340,138.625,140.59,136.655
11/24/2025,139.855,20124880,137.52,140.3475,137.435
11/21/2025,136.60,44958900,136.30,138.42,133.74
11/20/2025,136.075,56551780,143.72,144.2573,135.76
11/19/2025,140.485,27668900,139.525,142.06,139.165
11/18/2025,139.515,36747560,140.595,141.32,138.235
11/17/2025,141.82,24675360,142.725,144.285,140.675
11/14/2025,144.075,27429540,140.65,145.38,140.145
11/13/2025,143.295,22385820,146.14,146.34,142.515
11/12/2025,146.96,13179216,147.73,147.73,146.075
11/11/2025,146.505,14871586,146.79,147.055,145.53
11/10/2025,147.765,18286348,146.655,148.045,145.895
11/07/2025,144.08,25546960,143.345,144.115,140.799
11/06/2025,144.58,24797380,147.31,147.47,143.835
11/05/2025,147.545,14447042,146.7075,148.74,146.485
11/04/2025,146.97,16722508,148.2225,149.20,146.725
11/03/2025,150.955,13983640,151.78,152.11,150.13
10/31/2025,150.34,16303828,151.71,151.82,149.47
10/30/2025,150.195,19218542,151.20,151.98,150.145
10/29/2025,152.065,21506180,152.3475,152.995,150.935
10/28/2025,150.98,15055150,150.225,151.57,149.71
10/27/2025,149.50,15166990,148.85,149.63,148.61
10/24/2025,146.79,14359558,146.25,147.2825,146.035
10/23/2025,144.545,11923498,142.185,144.775,142.185
10/22/2025,142.745,20723260,144.105,144.421,140.95
10/21/2025,144.17,12503878,144.005,144.6825,143.475
10/20/2025,144.095,13805140,143.32,144.71,143.235
10/17/2025,142.505,25511540,141.41,142.93,140.51
10/16/2025,142.255,23166200,143.175,143.8097,141.285
10/15/2025,142.15,20937560,142.73,143.29,140.3975
10/14/2025,140.755,26956780,140.715,142.19,139.12
10/13/2025,142.585,22030320,142.365,143.06,141.555
10/10/2025,139.195,44574580,145.4025,145.67,139.14
10/09/2025,145.10,11989432,145.28,145.41,144.345
10/08/2025,145.345,14038684,143.17,145.35,143.0925
10/07/2025,142.84,15588378,144.54,144.75,142.085
10/06/2025,143.80,17945644,144.28,144.72,143.725
10/03/2025,142.36,17457914,143.21,143.94,141.87
10/02/2025,143.08,17607828,143.635,143.665,142.435
10/01/2025,142.31,17411244,140.21,142.41,140.17
09/30/2025,140.93,18215140,140.165,141.07,139.87
09/29/2025,140.165,16107478,140.22,140.96,139.84
09/26/2025,139.42,16534048,139.15,139.545,138.19
09/25/2025,139.00,21349700,137.98,139.345,137.125
09/24/2025,139.245,13471012,140.485,140.485,138.315
09/23/2025,140.11,16457122,141.1375,141.365,139.4876
09/22/2025,141.33,15771162,139.075,141.445,139.02
09/19/2025,139.46,15670762,138.615,139.59,138.165
09/18/2025,138.06,20883340,137.475,138.465,136.81
09/17/2025,135.715,18948526,136.095,136.26,134.31
09/16/2025,136.185,16081462,136.975,137.0675,136.02
09/15/2025,136.66,16268022,135.655,136.69,135.49
09/12/2025,135.44,15612228,135.80,135.93,135.15
09/11/2025,135.53,23429240,135.925,136.115,135.31
09/10/2025,135.075,25957140,135.355,135.985,134.43
09/09/2025,132.67,19354906,132.71,132.81,131.73
09/08/2025,132.415,20556500,132.12,132.895,132.09
09/05/2025,131.43,38561880,132.565,132.615,130.095
09/04/2025,131.32,24397400,130.14,131.3725,129.61
09/03/2025,130.675,15636628,130.565,130.935,129.70
09/02/2025,129.90,18226030,128.905,130.02,128.14
08/29/2025,131.225,17481146,132.685,132.71,130.745
08/28/2025,133.27,12380568,132.385,133.555,131.725
08/27/2025,132.225,11538638,131.645,132.375,131.04
08/26/2025,131.515,11081002,131.025,131.69,130.835
08/25/2025,130.915,10691774,131.205,131.735,130.555
08/22/2025,131.21,13756014,129.315,132.065,128.955
08/21/2025,129.455,15148558,129.61,130.13,128.895
08/20/2025,129.925,23064300,130.48,130.48,127.92
08/19/2025,130.81,17366906,133.085,133.115,130.565
08/18/2025,133.135,12233766,132.6825,133.2525,132.555
08/15/2025,132.85,13373126,133.685,133.685,132.32
08/14/2025,133.865,15484334,133.475,134.325,133.1675
08/13/2025,134.155,13990174,134.88,135.0249,133.6625
08/12/2025,134.105,11154956,132.72,134.14,131.985
08/11/2025,132.06,9425422,132.875,133.475,131.755
08/08/2025,132.96,11016472,132.14,133.11,131.795
08/07/2025,131.645,10318098,132.99,133.205,130.55
08/06/2025,131.525,10167088,130.185,131.695,130.10
08/05/2025,130.06,11176052,131.63,131.745,129.7575
08/04/2025,131.145,12376904,129.745,131.17,129.745
08/01/2025,128.535,19438016,129.94,129.985,127.89
