Date,Close/Last,Volume,Open,High,Low
12/12/2025,96.19,8348936,96.19,96.2726,96.17
12/11/2025,96.45,8673034,96.68,96.73,96.42
12/10/2025,96.44,13356900,96.085,96.47,96.08
12/09/2025,96.13,8509228,96.405,96.405,96.11
12/08/2025,96.27,14728580,96.41,96.42,96.09
12/05/2025,96.47,9118800,96.69,96.70,96.42
12/04/2025,96.67,8929096,96.815,96.825,96.62
12/03/2025,96.97,6855103,96.925,97.03,96.805
12/02/2025,96.77,7317320,96.66,96.815,96.60
12/01/2025,96.69,9898164,96.772,96.835,96.6797
11/28/2025,97.50,7798022,97.63,97.6499,97.39
11/26/2025,97.67,7747109,97.48,97.67,97.33
11/25/2025,97.59,9193433,97.44,97.6993,97.43
11/24/2025,97.34,6903895,97.29,97.3556,97.1814
11/21/2025,97.19,12551120,97.19,97.23,97.00
11/20/2025,96.87,9076414,96.74,96.945,96.695
11/19/2025,96.64,13075930,96.81,96.86,96.60
11/18/2025,96.71,8769024,96.84,96.93,96.57
11/17/2025,96.55,6648754,96.54,96.62,96.49
11/14/2025,96.44,11288460,96.88,96.9282,96.4201
11/13/2025,96.60,46965590,96.65,96.80,96.60
11/12/2025,96.88,7188206,96.81,96.95,96.775
11/11/2025,96.86,4937742,96.81,96.89,96.725
11/10/2025,96.56,9097469,96.565,96.65,96.51
11/07/2025,96.69,11460290,96.56,96.86,96.55
11/06/2025,96.65,7665059,96.52,96.72,96.51
11/05/2025,96.16,11749240,96.45,96.47,96.13
11/04/2025,96.62,6118993,96.57,96.6715,96.545
11/03/2025,96.50,8012728,96.42,96.56,96.37
10/31/2025,96.85,9739897,96.87,96.95,96.7899
10/30/2025,96.81,8958961,96.67,96.96,96.65
10/29/2025,96.95,11223260,97.53,97.53,96.90
10/28/2025,97.58,5539644,97.43,97.6291,97.43
10/27/2025,97.49,7272562,97.34,97.49,97.205
10/24/2025,97.49,7555376,97.52,97.54,97.33
10/23/2025,97.40,6138339,97.52,97.58,97.38
10/22/2025,97.72,6523872,97.65,97.77,97.5608
10/21/2025,97.70,7641969,97.69,97.77,97.63
10/20/2025,97.52,10437930,97.45,97.53,97.3701
10/17/2025,97.39,12491020,97.46,97.4791,97.265
10/16/2025,97.55,11627160,97.02,97.59,97.00
10/15/2025,97.10,7769455,97.205,97.33,97.015
