Date,Close/Last,Volume,Open,High,Low
09/29/2025,89.63,32286170,89.29,89.74,89.26
09/26/2025,88.90,30955060,88.99,89.47,88.69
09/25/2025,88.98,29882470,88.845,89.03,88.46
09/24/2025,88.98,28097980,89.08,89.16,88.70
09/23/2025,89.32,26689040,88.965,89.36,88.75
09/22/2025,88.70,24758220,88.82,88.91,88.54
09/19/2025,89.02,32509220,89.07,89.225,88.785
09/18/2025,89.19,55717920,89.26,89.47,88.90
09/17/2025,90.12,49121750,90.71,91.04,89.87
09/16/2025,90.35,26794230,90.09,90.495,90.04
09/15/2025,90.16,24820120,90.15,90.455,90.065
09/12/2025,89.95,32968580,89.83,89.98,89.4919
09/11/2025,90.34,46694390,89.91,90.48,89.90
09/10/2025,89.74,40713570,89.40,90.065,89.19
09/09/2025,89.23,37126430,89.40,89.55,88.99
09/08/2025,89.74,54538680,89.17,89.755,89.12
09/05/2025,88.56,69667950,88.22,88.61,88.14
09/04/2025,87.23,40501550,87.02,87.24,86.58
09/03/2025,86.57,52499540,85.93,86.81,85.89
09/02/2025,85.63,48760600,85.63,85.84,85.48
08/29/2025,86.60,41686430,86.76,86.86,86.44
08/28/2025,87.22,32205940,86.78,87.26,86.66
08/27/2025,86.65,38142760,86.105,86.66,86.00
08/26/2025,86.75,30259350,86.51,86.79,86.223
08/25/2025,86.80,27011920,86.725,87.05,86.65
08/22/2025,87.05,49871850,86.83,87.302,86.72
08/21/2025,86.41,28643890,86.56,86.675,86.105
08/20/2025,86.84,25912480,86.59,86.965,86.56
08/19/2025,86.65,28780630,86.45,86.75,86.445
08/18/2025,86.15,26777510,86.50,86.54,85.985
08/15/2025,86.40,36343550,86.66,86.78,86.25
08/14/2025,87.02,33397440,87.51,87.51,86.89
08/13/2025,87.67,30817490,87.44,87.81,87.425
08/12/2025,86.95,41087210,86.90,86.9681,86.55
08/11/2025,87.39,20100910,87.54,87.67,87.28
08/08/2025,87.29,21596330,87.36,87.385,87.1546
08/07/2025,87.67,29213150,87.915,88.25,87.59
08/06/2025,87.82,42589350,87.84,88.045,86.92
08/05/2025,88.33,28586110,87.85,88.45,87.78
08/04/2025,88.06,36425170,87.955,88.15,87.65
08/01/2025,87.82,63434530,87.56,87.93,87.515
07/31/2025,86.92,49814080,87.13,87.41,86.84
07/30/2025,86.87,40670870,86.77,86.96,86.56
07/29/2025,87.32,47828280,86.23,87.34,86.20
07/28/2025,85.87,26812460,85.99,86.20,85.83
07/25/2025,86.43,27196150,85.80,86.44,85.72
07/24/2025,85.89,25164760,85.55,86.24,85.51
07/23/2025,86.04,31008450,86.05,86.20,85.785
07/22/2025,86.52,35190320,86.17,86.77,86.11
