Date,Close/Last,Volume,Open,High,Low
10/21/2025,611.38,44538160,611.64,612.7213,609.32
10/20/2025,611.54,45761700,607.14,612.80,607.065
10/17/2025,603.93,72024870,597.95,605.51,596.37
10/16/2025,599.99,70981960,605.11,608.31,595.50
10/15/2025,602.22,62805460,604.01,606.70,595.93
10/14/2025,598.00,69203190,595.31,602.69,590.13
10/13/2025,602.01,65872580,599.68,602.95,597.23
10/10/2025,589.50,97614780,611.40,613.18,589.05
10/09/2025,610.70,45550960,611.48,611.61,607.48
10/08/2025,611.44,50629750,605.41,611.75,605.26
10/07/2025,604.51,58209460,609.02,609.71,603.03
10/06/2025,607.71,41962120,608.45,609.36,605.97
10/03/2025,603.18,46482100,606.51,607.3255,601.385
10/02/2025,605.73,43765410,607.06,607.16,602.93
10/01/2025,603.25,46899610,597.17,603.79,596.34
09/30/2025,600.37,46533810,598.43,600.71,596.10
09/29/2025,598.73,48332930,599.11,602.05,597.41
09/26/2025,595.97,54337420,594.35,596.30,591.06
09/25/2025,593.53,70920210,592.20,595.115,588.50
09/24/2025,596.10,49850300,599.58,599.90,593.36
09/23/2025,598.20,64635490,602.37,602.57,596.98
09/22/2025,602.20,57154770,597.74,602.87,597.72
09/19/2025,599.35,58196110,597.33,600.05,595.85
09/18/2025,595.32,61069290,594.91,598.14,592.96
09/17/2025,590.00,69384820,591.10,591.75,584.365
09/16/2025,591.18,36942130,592.61,592.86,590.49
09/15/2025,591.68,44360320,588.44,591.79,588.295
09/12/2025,586.66,50745890,585.04,587.86,584.10
09/11/2025,584.08,44745770,583.24,584.88,581.62
09/10/2025,580.70,49307960,583.74,583.77,578.55
09/09/2025,580.51,44007590,579.67,580.94,577.04
09/08/2025,578.87,46371350,578.37,580.84,577.77
09/05/2025,576.06,68342530,580.49,581.12,571.53
09/04/2025,575.23,47526280,570.74,575.60,569.025
09/03/2025,570.07,54230210,569.23,571.695,566.725
09/02/2025,565.62,65876770,561.31,565.965,559.535
08/29/2025,570.40,56030410,574.655,575.03,568.54
08/28/2025,577.08,46787860,574.11,578.00,572.46
08/27/2025,573.49,36927140,571.59,574.405,570.37
08/26/2025,572.61,34103010,569.83,572.92,568.80
08/25/2025,570.32,34044750,570.40,573.2871,569.16
08/22/2025,571.97,51502130,564.67,573.99,563.27
08/21/2025,563.28,46436900,564.35,566.49,560.98
08/20/2025,565.90,76781090,568.33,568.45,558.84
08/19/2025,569.28,53752640,576.39,576.56,568.25
08/18/2025,577.11,29830960,576.44,577.765,575.2412
08/15/2025,577.34,49480160,579.80,579.84,575.5743
08/14/2025,579.89,45425040,578.28,581.88,577.91
08/13/2025,580.34,41209290,582.76,583.3199,578.94
08/12/2025,580.05,42271440,575.16,580.35,572.485
08/11/2025,572.85,33112920,574.69,576.80,571.57
08/08/2025,574.55,35255470,570.45,574.77,570.15
08/07/2025,569.24,44462970,571.67,573.32,565.11
08/06/2025,567.32,41823680,561.11,567.76,560.63
08/05/2025,560.27,48666640,565.39,566.5607,559.73
08/04/2025,564.10,47669750,559.05,564.315,558.95
08/01/2025,553.88,69400790,558.83,559.02,551.68
07/31/2025,565.01,64613590,574.54,574.63,563.87
07/30/2025,568.02,43433780,568.18,570.62,565.05
07/29/2025,567.26,45463320,570.76,572.11,566.53
07/28/2025,568.14,31498740,567.74,569.04,566.87
07/25/2025,566.37,30630810,564.93,567.695,564.27
07/24/2025,565.01,42275540,565.13,566.24,563.295
07/23/2025,563.81,40215260,562.34,563.85,559.58
07/22/2025,561.25,43270650,564.30,564.35,558.61
07/21/2025,564.17,39595210,562.09,566.06,562.06
07/18/2025,561.26,50484700,563.12,564.7262,559.98
07/17/2025,561.80,40423780,558.02,562.31,557.21
07/16/2025,557.29,52314710,557.28,560.21,551.56
07/15/2025,556.72,43277660,560.25,560.80,556.66
07/14/2025,556.21,36453310,553.99,556.945,551.63
07/11/2025,554.20,39618640,553.30,555.79,552.05
07/10/2025,555.45,34710910,556.89,557.30,552.75
07/09/2025,556.25,43045530,554.48,557.63,553.10
07/08/2025,552.34,36153260,553.38,554.01,551.10
07/07/2025,552.03,45349320,553.52,554.34,549.58
07/03/2025,556.22,26443520,553.18,557.20,553.18
07/02/2025,550.80,36538280,546.16,551.00,546.12
07/01/2025,546.99,56166740,549.73,550.71,544.66
06/30/2025,551.64,45548740,551.26,552.80,549.01
06/27/2025,548.09,57577150,547.26,549.99,544.545
06/26/2025,546.22,43811430,543.35,546.67,541.52
06/25/2025,541.16,44804170,542.06,543.31,539.38
06/24/2025,539.78,45441980,536.89,540.70,536.27
06/23/2025,531.65,50666150,526.81,532.17,523.65
06/20/2025,526.83,61643520,532.26,533.56,524.88
06/18/2025,528.99,43983520,530.10,532.55,527.40
06/17/2025,529.08,42180870,531.71,533.325,527.91
06/16/2025,534.29,37622050,530.50,535.37,530.45
06/13/2025,526.96,55814440,527.68,531.87,525.73
06/12/2025,533.66,34104890,531.09,534.6438,530.84
06/11/2025,532.41,53701030,535.62,536.78,530.11
06/10/2025,534.21,40664800,531.17,534.90,528.89
06/09/2025,530.70,33688670,530.14,532.35,529.01
06/06/2025,529.92,42467020,530.00,531.80,528.21
06/05/2025,524.79,61286620,530.18,533.05,522.66
06/04/2025,528.77,41359320,528.01,529.84,525.9694
06/03/2025,527.30,44070330,523.56,528.74,522.69
06/02/2025,523.21,44762820,517.24,523.45,515.97
05/30/2025,519.11,67662840,519.44,520.68,511.93
05/29/2025,519.93,58724070,526.33,526.48,517.32
05/28/2025,518.91,46637180,522.18,523.68,518.39
05/27/2025,521.22,47226320,516.15,521.71,514.59
05/23/2025,509.24,58368080,506.18,511.84,505.58
05/22/2025,514.00,55607170,513.66,517.71,512.30
05/21/2025,513.04,71292830,516.27,523.00,511.24
05/20/2025,520.27,42517560,519.47,520.93,516.66
05/19/2025,522.01,52536150,514.24,522.53,514.24
05/16/2025,521.51,48394600,520.66,521.70,517.10
05/15/2025,519.25,50153280,516.52,521.93,515.17
05/14/2025,518.68,47014520,516.77,519.2279,515.75
05/13/2025,515.59,53269570,509.16,517.39,508.42
05/12/2025,507.85,45090620,506.99,507.89,501.48
05/09/2025,487.97,27767420,490.21,491.54,486.195
05/08/2025,488.29,39577590,488.53,492.70,484.17
05/07/2025,483.30,38109860,482.08,485.80,476.782
05/06/2025,481.41,32786310,479.56,485.05,478.19
05/05/2025,485.93,28309490,484.60,489.03,484.10
05/02/2025,488.83,39218080,486.54,490.91,484.83
05/01/2025,481.68,43316540,483.41,487.18,480.74
04/30/2025,475.47,46810610,467.13,477.20,462.43
04/29/2025,475.53,30613120,470.17,476.4243,469.59
04/28/2025,472.41,33550780,473.03,474.808,466.03
04/25/2025,472.56,38697060,466.97,473.09,465.39
04/24/2025,467.35,45956140,456.48,467.66,455.83
04/23/2025,454.56,55801140,458.17,463.38,452.88
04/22/2025,444.48,52304390,438.82,447.58,437.62
04/21/2025,433.11,44149310,438.23,439.08,427.93
04/17/2025,444.10,44837050,447.17,447.75,441.36
04/16/2025,444.18,48980550,449.03,452.62,437.76
04/15/2025,457.99,35404210,458.54,462.38,456.15
04/14/2025,457.48,43941180,464.46,465.05,452.63
04/11/2025,454.40,52483780,444.65,455.79,441.33
04/10/2025,446.18,108384100,453.56,455.59,432.63
04/09/2025,466.00,142876900,415.57,467.83,415.43
04/08/2025,416.06,101248100,438.16,443.1384,409.79
04/07/2025,423.69,161557000,408.66,443.14,402.39
04/04/2025,422.67,117088400,438.14,440.37,422.67
04/03/2025,450.66,70456340,456.44,460.07,450.14
04/02/2025,476.15,49894490,466.12,479.56,465.86
04/01/2025,472.70,41156230,467.30,473.63,464.42
03/31/2025,468.92,53000300,461.92,469.86,457.33
03/28/2025,468.94,46363800,479.81,480.52,468.05
03/27/2025,481.62,33469820,482.41,486.5799,480.25
03/26/2025,484.38,35043360,492.30,493.16,482.82
03/25/2025,493.46,26035240,491.39,493.62,490.42
03/24/2025,490.66,34567190,487.74,491.51,484.40
03/21/2025,480.84,42234870,474.08,481.61,472.905
03/20/2025,479.26,36780550,476.88,484.55,476.18
03/19/2025,480.89,40430330,476.81,485.33,474.87
03/18/2025,474.54,39072270,479.41,479.61,472.41
03/17/2025,482.77,41744350,479.61,485.84,477.80
03/14/2025,479.66,43563010,473.73,480.56,473.12
03/13/2025,468.34,46563350,476.25,476.2801,466.43
03/12/2025,476.92,46971080,479.16,481.06,471.79
03/11/2025,471.60,68760770,472.35,478.805,467.01
03/10/2025,472.73,76668030,483.45,483.97,468.66
03/07/2025,491.79,54714730,487.16,493.28,480.53
03/06/2025,488.20,57574330,493.69,498.58,486.20
03/05/2025,502.01,46323730,496.20,503.63,491.26
